id,fish_type_id,lake,date_sampled,mercury,omega_3,omega_3_ratio,pcb,protein,sample_date
65c3b2f2-cffe-11ed-afa1-0242ac120002,aca1fb2e-cffa-11ed-afa1-0242ac120002,Superior,,0.065,624.2,2.51,0.011,17.6,
65c3b586-cffe-11ed-afa1-0242ac120002,aca1f5a2-cffa-11ed-afa1-0242ac120002,Store,,0.033,307.1,11.81,0,23.5,
65c3c332-cffe-11ed-afa1-0242ac120002,aca2042a-cffa-11ed-afa1-0242ac120002,Store,,0.005,1902.7,0.93,0.002,20.4,
65c3c774-cffe-11ed-afa1-0242ac120002,aca201c8-cffa-11ed-afa1-0242ac120002,Huron,,0.436,244.1,2.11,0.067,19.1,
65c3ceb8-cffe-11ed-afa1-0242ac120002,aca1f69c-cffa-11ed-afa1-0242ac120002,Huron,,0.068,783.3,2.11,0.026,18,
65c3d070-cffe-11ed-afa1-0242ac120002,aca200ec-cffa-11ed-afa1-0242ac120002,Huron,,0.11,458.09,2.72,0.025,19.1,
65c3d21e-cffe-11ed-afa1-0242ac120002,aca1f93a-cffa-11ed-afa1-0242ac120002,Huron,,0.069,221.7,3.46,0.003,19.4,
65c3f000-cffe-11ed-afa1-0242ac120002,aca20344-cffa-11ed-afa1-0242ac120002,Store,,0.003,61.4,0.28,0,20.1,
b1d49170-cffe-11ed-afa1-0242ac120002,aca1ffe8-cffa-11ed-afa1-0242ac120002,Store,,0.234,578.5,5.01,0,19.4,
65c3df98-cffe-11ed-afa1-0242ac120002,aca1fe4e-cffa-11ed-afa1-0242ac120002,Superior,,0.16,3013.48,2.2,0.068,20.8,
65c3e2b8-cffe-11ed-afa1-0242ac120002,aca1fe4e-cffa-11ed-afa1-0242ac120002,Michigan,,0.133,3013.48,2.2,0.153,20.8,
65c3eb96-cffe-11ed-afa1-0242ac120002,aca201c8-cffa-11ed-afa1-0242ac120002,Michigan,,0.31,244.1,2.11,0.037,19.1,
65c3de3a-cffe-11ed-afa1-0242ac120002,aca201c8-cffa-11ed-afa1-0242ac120002,Superior,,0.378,244.1,2.11,0.003,19.1,
2cf850c4-0af1-45fd-ab39-af35a15c85fe,aca201c8-cffa-11ed-afa1-0242ac120002,Inland,,0.563,244.1,2.11,0.001,19.1,
65c3f78a-cffe-11ed-afa1-0242ac120002,aca201c8-cffa-11ed-afa1-0242ac120002,Store,,0.4218,244.1,2.11,0.036,19.1,
65c3b446-cffe-11ed-afa1-0242ac120002,aca1fb2e-cffa-11ed-afa1-0242ac120002,Store,,0.0525,624.2,2.51,0.008,17.6,
b1d492d8-cffe-11ed-afa1-0242ac120002,aca1fe4e-cffa-11ed-afa1-0242ac120002,Store,,0.143,2395.3,2.2,0.09,20.8,
beed1903-4373-4bae-9953-c53d57971fa9,aca1fb2e-cffa-11ed-afa1-0242ac120002,Huron,,0.04,624.2,2.51,0.005,17.6,
65c3b036-cffe-11ed-afa1-0242ac120002,aca1f69c-cffa-11ed-afa1-0242ac120002,Store,,0.0917,783.3,2.11,0.037,18,
a2843de3-ce86-468e-abb2-e2b3d856d3b3,aca1f69c-cffa-11ed-afa1-0242ac120002,Michigan,,0.14,2.11,0.14,0.059,18,
7359bcad-fea2-44b0-b79d-a62e74bdc2a2,aca1f69c-cffa-11ed-afa1-0242ac120002,Superior,,0.14,783.3,2.11,0.059,18,
2dd04f24-32a1-4078-a6cd-190d0084785a,aca1f93a-cffa-11ed-afa1-0242ac120002,Inland,,0.137,221.7,3.46,0.001,19.4,
65c3ed26-cffe-11ed-afa1-0242ac120002,aca1f93a-cffa-11ed-afa1-0242ac120002,Michigan,,0.143,221.7,3.46,0.001,19.4,
b1d4942c-cffe-11ed-afa1-0242ac120002,aca1f93a-cffa-11ed-afa1-0242ac120002,Store,,0.1173,221.7,3.46,0.0017,19.4,
307413cf-41f9-4362-a841-879172f17b67,aca200ec-cffa-11ed-afa1-0242ac120002,Inland,,0.189,458.09,2.72,0.032,19.1,
b1d49f62-cffe-11ed-afa1-0242ac120002,aca200ec-cffa-11ed-afa1-0242ac120002,Michigan,,0.086,458.09,2.72,0.021,19.1,
b1d49e4a-cffe-11ed-afa1-0242ac120002,aca200ec-cffa-11ed-afa1-0242ac120002,Superior,,0.0624,458.09,2.72,0.0044,19.1,
b1d49846-cffe-11ed-afa1-0242ac120002,aca200ec-cffa-11ed-afa1-0242ac120002,Store,,0.1119,458.09,2.72,0.0206,19.1,
65c3cd14-cffe-11ed-afa1-0242ac120002,aca1fe4e-cffa-11ed-afa1-0242ac120002,Huron,,0.136,3013.48,2.2,0.049,20.8,
1e9eebd8-0d38-40d4-b93f-755e5a6be328,aca1f4a8-cffa-11ed-afa1-0242ac120002,Huron,,0.25,192,21.33,0.046,19.3,
65c3e89e-cffe-11ed-afa1-0242ac120002,aca1f4a8-cffa-11ed-afa1-0242ac120002,Michigan,,0.415,192,21.333,0.0723,19.3,
65c3dc96-cffe-11ed-afa1-0242ac120002,aca1f4a8-cffa-11ed-afa1-0242ac120002,Superior,,0.273,192,21.33,0.0211,19.3,
b1d49d28-cffe-11ed-afa1-0242ac120002,aca1fa3e-cffa-11ed-afa1-0242ac120002,Huron,,0.459,151.76,4.438,0.0013,19.3,
5f16367d-698c-4b97-a78f-d99be61e368e,aca1fa3e-cffa-11ed-afa1-0242ac120002,Inland,,0.459,151.76,4.44,0.005,19.3,
65c3e434-cffe-11ed-afa1-0242ac120002,aca1fa3e-cffa-11ed-afa1-0242ac120002,Michigan,,0.4365,151.76,4.44,0.0047,19.3,
65c3d82c-cffe-11ed-afa1-0242ac120002,aca1fa3e-cffa-11ed-afa1-0242ac120002,Superior,,0.259,151.76,4.44,0.004,19.3,
8dda53c4-2ed8-4fa0-9771-0216f0974784,2cfb2855-26ac-46f5-beaa-57a01ddbc07e,Inland,,0.46,210.45,9.08,0.003,19.3,
6bab8f0d-ad53-487a-b4ae-8d7a856e1c24,91c76243-59df-48f7-9cfb-9f937dfc8975,Huron,,0.153,210.45,9.08,0.007,19.3,
8f5a8b09-6841-4b37-a30c-619bf6f44b61,91c76243-59df-48f7-9cfb-9f937dfc8975,Superior,,0.217,210.45,9.08,0.002,19.3,
48f7542e-bae4-4d18-9a5f-ce9e74e0022f,91c76243-59df-48f7-9cfb-9f937dfc8975,Inland,,0.614,210.45,9.08,0.004,19.3,
f2021df0-b1ab-406e-83ac-5f39791ebe65,aca1fc82-cffa-11ed-afa1-0242ac120002,Inland,,0.253,604,8.88,0.001,14.25,
2fd63a5d-0324-4823-9ecb-8443761cd129,efabeb82-1340-41e5-9335-3bc2aedeafba,Inland,,0.095,152,10.9,0,17,
26251018-3027-42b3-ac05-60ef62084533,1d2361f6-1d1f-420c-b64c-00b2826e2c86,Inland,,0.142,712,0,0.007,18,
8d4c5177-a6ed-47ea-adff-19c213c7c96a,df416b3f-07e8-49cb-8154-9678071381fb,Huron,,0.205,575.46,0,0.276,20.8,
eb6edcee-551a-4591-b909-d28c0b776f40,df416b3f-07e8-49cb-8154-9678071381fb,Michigan,,0.218,575.46,0,0.189,20.8,
